path,name,samgov_agencycode,samgov_cgaclist_0_cgac,samgov_cgaclist_1_cgac,samgov_cgaclist_2_cgac,samgov_cgaclist_3_cgac,samgov_cgaclist_4_cgac,samgov_createdby,samgov_createddate,samgov_fhagencyorgname,samgov_fhdeptindagencyorgid,samgov_fhorgid,samgov_fhorgname,samgov_fhorgnamehistory_0_effectivedate,samgov_fhorgnamehistory_0_fhorgname,samgov_fhorgparenthistory_0_actiontype,samgov_fhorgparenthistory_0_codehierarchy,samgov_fhorgparenthistory_0_effectivedate,samgov_fhorgparenthistory_0_fhfullparentpathid,samgov_fhorgparenthistory_0_fhfullparentpathname,samgov_fhorgtype,samgov_lastupdateddate,samgov_links_0_href,samgov_links_0_rel,samgov_links_1_href,samgov_links_1_rel,samgov_name,samgov_oldfpdsofficecode,samgov_status,samgov_updatedby
/US FEDERAL GOVERNMENT/JAPAN-U.S. FRIENDSHIP COMMISSION (300000054),JAPAN-U.S. FRIENDSHIP COMMISSION (300000054),9512,382,,,,,IAE_DATA_TEAM,2017-10-05 12:35,JAPAN-US FRIENDSHIP COMMISSION,300000054,300000054,JAPAN-U.S. FRIENDSHIP COMMISSION,1957-07-01 00:00,JAPAN-U.S. FRIENDSHIP COMMISSION,CREATE,,1957-07-01 00:00,300000054,JAPAN-US FRIENDSHIP COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000054,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000054,nextlevelchildren,JAPAN-U.S. FRIENDSHIP COMMISSION,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/J. F. KENNEDY CENTER FOR THE PERFORMING ARTS (300000024),J. F. KENNEDY CENTER FOR THE PERFORMING ARTS (300000024),3352,033,,,,,IAE_DATA_TEAM,2017-10-05 12:35,J F KENNEDY CENTER FOR THE PERFORMING ARTS,300000024,300000024,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,1957-07-01 00:00,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,,,,,,Department/Ind. Agency,2022-06-06 08:21,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000024,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000024,nextlevelchildren,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,,ACTIVE,adam.stansifer+fhadmin@gsa.gov
/US FEDERAL GOVERNMENT/JOHN C. STENNIS CENTER FOR PUBLIC DEVELOPMENT (300000702),JOHN C. STENNIS CENTER FOR PUBLIC DEVELOPMENT (300000702),0914,009,,,,,DATA TEAM,2017-12-11 15:45,JOHN C STENNIS CENTER FOR PUBLIC DEVELOPMENT,300000702,300000702,JOHN C. STENNIS CENTER FOR PUBLIC DEVELOPMENT,1957-07-01 00:00,JOHN C. STENNIS CENTER FOR PUBLIC DEVELOPMENT,CREATE,,1957-07-01 00:00,300000702,JOHN C STENNIS CENTER FOR PUBLIC DEVELOPMENT,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000702,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000702,nextlevelchildren,JOHN C. STENNIS CENTER FOR PUBLIC DEVELOPMENT,,ACTIVE,FPDS_START_DATE_FIX
"/US FEDERAL GOVERNMENT/INTERIOR, DEPARTMENT OF THE (100010393)","INTERIOR, DEPARTMENT OF THE (100010393)",1400,014,,,,,,2004-06-23 00:00,"INTERIOR, DEPARTMENT OF THE",100010393,100010393,"INTERIOR, DEPARTMENT OF THE",1957-07-01 00:00,"INTERIOR, DEPARTMENT OF THE",CREATE,,1957-07-01 00:00,100010393,"INTERIOR, DEPARTMENT OF THE",Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100010393,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100010393,nextlevelchildren,"INTERIOR, DEPARTMENT OF THE",1400,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/NORTHERN BORDER REGIONAL COMMISSION (300000074),NORTHERN BORDER REGIONAL COMMISSION (300000074),9557,573,,,,,IAE_DATA_TEAM,2017-10-05 12:35,NORTHERN BORDER REGIONAL COMMISSION,300000074,300000074,NORTHERN BORDER REGIONAL COMMISSION,2008-06-18 00:00,NORTHERN BORDER REGIONAL COMMISSION,CREATE,,2008-06-18 00:00,300000074,NORTHERN BORDER REGIONAL COMMISSION,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000074,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000074,nextlevelchildren,NORTHERN BORDER REGIONAL COMMISSION,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/NUCLEAR REGULATORY COMMISSION (100137672),NUCLEAR REGULATORY COMMISSION (100137672),3100,031,,,,,,2000-02-29 00:00,NUCLEAR REGULATORY COMMISSION,100137672,100137672,NUCLEAR REGULATORY COMMISSION,1957-07-01 00:00,NUCLEAR REGULATORY COMMISSION,CREATE,,1957-07-01 00:00,100137672,NUCLEAR REGULATORY COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100137672,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100137672,nextlevelchildren,NUCLEAR REGULATORY COMMISSION,3100,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/NUCLEAR WASTE TECHNICAL REVIEW BOARD (300000031),NUCLEAR WASTE TECHNICAL REVIEW BOARD (300000031),4856,431,,,,,IAE_DATA_TEAM,2017-10-05 12:35,NUCLEAR WASTE TECHNICAL REVIEW BOARD,300000031,300000031,NUCLEAR WASTE TECHNICAL REVIEW BOARD,1957-07-01 00:00,NUCLEAR WASTE TECHNICAL REVIEW BOARD,CREATE,,1957-07-01 00:00,300000031,NUCLEAR WASTE TECHNICAL REVIEW BOARD,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000031,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000031,nextlevelchildren,NUCLEAR WASTE TECHNICAL REVIEW BOARD,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION (300000056),OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION (300000056),9514,432,,,,,IAE_DATA_TEAM,2017-10-05 12:35,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,300000056,300000056,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,1957-07-01 00:00,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,CREATE,,1957-07-01 00:00,300000056,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000056,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000056,nextlevelchildren,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/OFFICE OF GOVERNMENT ETHICS (300000072),OFFICE OF GOVERNMENT ETHICS (300000072),9549,434,,,,,IAE_DATA_TEAM,2017-10-05 12:35,OFFICE OF GOVERNMENT ETHICS,300000072,300000072,OFFICE OF GOVERNMENT ETHICS,1957-07-01 00:00,OFFICE OF GOVERNMENT ETHICS,CREATE,,1957-07-01 00:00,300000072,OFFICE OF GOVERNMENT ETHICS,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000072,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000072,nextlevelchildren,OFFICE OF GOVERNMENT ETHICS,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/OFFICE OF NAVAJO AND HOPI INDIAN RELOCATION (300000029),OFFICE OF NAVAJO AND HOPI INDIAN RELOCATION (300000029),4849,435,,,,,IAE_DATA_TEAM,2017-10-05 12:35,OFFICE OF NAVAJO AND HOPI INDIAN RELOCATION,300000029,300000029,OFFICE OF NAVAJO AND HOPI INDIAN RELOCATION,1957-07-01 00:00,OFFICE OF NAVAJO AND HOPI INDIAN RELOCATION,CREATE,,1957-07-01 00:00,300000029,OFFICE OF NAVAJO AND HOPI INDIAN RELOCATION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000029,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000029,nextlevelchildren,OFFICE OF NAVAJO AND HOPI INDIAN RELOCATION,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/OFFICE OF SPECIAL COUNSEL (300000040),OFFICE OF SPECIAL COUNSEL (300000040),6201,062,,,,,IAE_DATA_TEAM,2017-10-05 12:35,OFFICE OF SPECIAL COUNSEL,300000040,300000040,OFFICE OF SPECIAL COUNSEL,1957-07-01 00:00,OFFICE OF SPECIAL COUNSEL,CREATE,,1957-07-01 00:00,300000040,OFFICE OF SPECIAL COUNSEL,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000040,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000040,nextlevelchildren,OFFICE OF SPECIAL COUNSEL,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/OFFICE OF THE DIRECTOR - CSOSA (300000767),OFFICE OF THE DIRECTOR - CSOSA (300000767),959D,511,,,,,DATA TEAM,2017-12-11 15:45,OFFICE OF THE DIRECTOR - CSOSA,300000767,300000767,OFFICE OF THE DIRECTOR - CSOSA,1957-07-01 00:00,OFFICE OF THE DIRECTOR - CSOSA,CREATE,,1957-07-01 00:00,300000767,OFFICE OF THE DIRECTOR - CSOSA,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000767,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000767,nextlevelchildren,OFFICE OF THE DIRECTOR - CSOSA,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/OFFICE OF THE DIRECTOR OF NATIONAL INTELLIGENCE (500033706),OFFICE OF THE DIRECTOR OF NATIONAL INTELLIGENCE (500033706),9546,467,,,,,IAE-DataTeam,2018-09-17 19:05,OFFICE OF THE DIRECTOR OF NATIONAL INTELLIGENCE,500033706,500033706,OFFICE OF THE DIRECTOR OF NATIONAL INTELLIGENCE,1957-07-01 00:00,OFFICE OF THE DIRECTOR OF NATIONAL INTELLIGENCE,,,,,,Department/Ind. Agency,2022-03-17 14:59,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=500033706,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=500033706,nextlevelchildren,OFFICE OF THE DIRECTOR OF NATIONAL INTELLIGENCE,,ACTIVE,brian.gilman+supadmin@gsa.gov
/US FEDERAL GOVERNMENT/OFF OF THE FED INSPECTOR FOR THE AK NATURAL GAS TRANSPORT (300000035),OFF OF THE FED INSPECTOR FOR THE AK NATURAL GAS TRANSPORT (300000035),5200,534,,,,,IAE_DATA_TEAM,2017-10-05 12:35,OFF OF THE FED INSPECTOR FOR THE AK NATURAL GAS TRANSPORT,300000035,300000035,OFF OF THE FED INSPECTOR FOR THE AK NATURAL GAS TRANSPORT,1957-07-01 00:00,OFF OF THE FED INSPECTOR FOR THE AK NATURAL GAS TRANSPORT,CREATE,,1957-07-01 00:00,300000035,OFF OF THE FED INSPECTOR FOR THE AK NATURAL GAS TRANSPORT,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000035,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000035,nextlevelchildren,OFF OF THE FED INSPECTOR FOR THE AK NATURAL GAS TRANSPORT,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/INTER-AGENCY COUNCIL FOR HOMELESS (300000030),INTER-AGENCY COUNCIL FOR HOMELESS (300000030),4854,376,,,,,IAE_DATA_TEAM,2017-10-05 12:35,INTER-AGENCY COUNCIL FOR HOMELESS,300000030,300000030,INTER-AGENCY COUNCIL FOR HOMELESS,1957-07-01 00:00,INTER-AGENCY COUNCIL FOR HOMELESS,CREATE,,1957-07-01 00:00,300000030,INTER-AGENCY COUNCIL FOR HOMELESS,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000030,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000030,nextlevelchildren,INTER-AGENCY COUNCIL FOR HOMELESS,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/INTERAGENCY COUNCIL ON THE HOMELESS (300000032),INTERAGENCY COUNCIL ON THE HOMELESS (300000032),4865,376,,,,,IAE_DATA_TEAM,2017-10-05 12:35,INTERAGENCY COUNCIL ON THE HOMELESS,300000032,300000032,INTERAGENCY COUNCIL ON THE HOMELESS,1957-07-01 00:00,INTERAGENCY COUNCIL ON THE HOMELESS,CREATE,,1957-07-01 00:00,300000032,INTERAGENCY COUNCIL ON THE HOMELESS,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000032,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000032,nextlevelchildren,INTERAGENCY COUNCIL ON THE HOMELESS,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/INTERAGENCY COUNCIL ON THE HOMELESS (300000073),INTERAGENCY COUNCIL ON THE HOMELESS (300000073),9554,376,,,,,IAE_DATA_TEAM,2017-10-05 12:35,INTERAGENCY COUNCIL ON THE HOMELESS,300000073,300000073,INTERAGENCY COUNCIL ON THE HOMELESS,1957-07-01 00:00,INTERAGENCY COUNCIL ON THE HOMELESS,CREATE,,1957-07-01 00:00,300000073,INTERAGENCY COUNCIL ON THE HOMELESS,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000073,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000073,nextlevelchildren,INTERAGENCY COUNCIL ON THE HOMELESS,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/Inter-American Foundation (500037110),Inter-American Foundation (500037110),1143,164,,,,,UI,2018-10-11 14:23,Inter-American Foundation,500037110,500037110,Inter-American Foundation,2003-06-07 00:00,Inter-American Foundation,,,,,,Department/Ind. Agency,2022-02-11 11:16,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=500037110,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=500037110,nextlevelchildren,Inter-American Foundation,,ACTIVE,brian.gilman+supadmin@gsa.gov
/US FEDERAL GOVERNMENT/INTERNATIONAL ASTRONOMICAL UNION (300000725),INTERNATIONAL ASTRONOMICAL UNION (300000725),49SA,049,,,,,DATA TEAM,2017-12-11 15:45,INTERNATIONAL ASTRONOMICAL UNION,300000725,300000725,INTERNATIONAL ASTRONOMICAL UNION,1957-07-01 00:00,INTERNATIONAL ASTRONOMICAL UNION,CREATE,,1957-07-01 00:00,300000725,INTERNATIONAL ASTRONOMICAL UNION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000725,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000725,nextlevelchildren,INTERNATIONAL ASTRONOMICAL UNION,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/JUDICIAL PANEL ON MULTIDISTRICT LITIGATION (300000709),JUDICIAL PANEL ON MULTIDISTRICT LITIGATION (300000709),1018,010,,,,,DATA TEAM,2017-12-11 15:45,JUDICIAL PANEL ON MULTIDISTRICT LITIGATION,300000709,300000709,JUDICIAL PANEL ON MULTIDISTRICT LITIGATION,1957-07-01 00:00,JUDICIAL PANEL ON MULTIDISTRICT LITIGATION,CREATE,,1957-07-01 00:00,300000709,JUDICIAL PANEL ON MULTIDISTRICT LITIGATION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000709,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000709,nextlevelchildren,JUDICIAL PANEL ON MULTIDISTRICT LITIGATION,,ACTIVE,FPDS_START_DATE_FIX
"/US FEDERAL GOVERNMENT/JUSTICE, DEPARTMENT OF (100011955)","JUSTICE, DEPARTMENT OF (100011955)",1542,015,,,,,IAE_DATA_TEAM,2017-10-11 14:09,"JUSTICE, DEPARTMENT OF",100011955,300000176,"FEDERAL PRISON INDUSTRIES, INC.",2016-01-01 00:00,"FEDERAL PRISON INDUSTRIES, INC.",,,,,,Sub-Tier,2021-10-26 13:21,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000176,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000176,nextlevelchildren,"FEDERAL PRISON INDUSTRIES, INC.",,ACTIVE,brian.gilman+supadmin@gsa.gov
/US FEDERAL GOVERNMENT/LEGAL SERVICES CORPORATION (500155065),LEGAL SERVICES CORPORATION (500155065),2090,020,,,,,michael.stephenson@gsa.gov,2020-03-31 11:08,LEGAL SERVICES CORPORATION,500155065,500155065,LEGAL SERVICES CORPORATION,2020-03-31 00:00,LEGAL SERVICES CORPORATION,CREATE,,2020-03-31 00:00,500155065,LEGAL SERVICES CORPORATION,Department/Ind. Agency,2020-04-06 14:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=500155065,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=500155065,nextlevelchildren,LEGAL SERVICES CORPORATION,,ACTIVE,michael.stephenson@gsa.gov
/US FEDERAL GOVERNMENT/LIBRARY OF CONGRESS (100094131),LIBRARY OF CONGRESS (100094131),0300,003,,,,,,2004-11-17 00:00,LIBRARY OF CONGRESS,100094131,100094131,LIBRARY OF CONGRESS,1957-07-01 00:00,LIBRARY OF CONGRESS,CREATE,,1957-07-01 00:00,100094131,LIBRARY OF CONGRESS,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100094131,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100094131,nextlevelchildren,LIBRARY OF CONGRESS,0300,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/OPEN WORLD LEADERSHIP CENTER (300000009),OPEN WORLD LEADERSHIP CENTER (300000009),0945,009,,,,,IAE_DATA_TEAM,2017-10-05 12:35,OPEN WORLD LEADERSHIP CENTER,300000009,300000009,OPEN WORLD LEADERSHIP CENTER,2013-10-01 00:00,OPEN WORLD LEADERSHIP CENTER,CREATE,,2013-10-01 00:00,300000009,OPEN WORLD LEADERSHIP CENTER,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000009,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000009,nextlevelchildren,OPEN WORLD LEADERSHIP CENTER,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/PEACE CORPS (100007189),PEACE CORPS (100007189),1145,011,,,,,,1996-07-30 00:00,PEACE CORPS,100007189,100007189,PEACE CORPS,1957-07-01 00:00,PEACE CORPS,CREATE,,1957-07-01 00:00,100007189,PEACE CORPS,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100007189,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100007189,nextlevelchildren,PEACE CORPS,1145,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/PENSION BENEFIT GUARANTY CORPORATION (100090284),PENSION BENEFIT GUARANTY CORPORATION (100090284),1665,016,,,,,,2007-05-24 00:00,PENSION BENEFIT GUARANTY CORPORATION,100090284,100090284,PENSION BENEFIT GUARANTY CORPORATION,2005-10-01 00:00,PENSION BENEFIT GUARANTY CORPORATION,CREATE,,2005-10-01 00:00,100090284,PENSION BENEFIT GUARANTY CORPORATION,Department/Ind. Agency,2019-12-18 10:28,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100090284,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100090284,nextlevelchildren,PENSION BENEFIT GUARANTY CORPORATION,1665,ACTIVE,michael.stephenson@gsa.gov
/US FEDERAL GOVERNMENT/POSTAL REGULATORY COMMISSION (500185220),POSTAL REGULATORY COMMISSION (500185220),1818,018,,,,,FH Admin,2022-11-01 14:35,POSTAL REGULATORY COMMISSION,500185220,500185220,POSTAL REGULATORY COMMISSION,2006-10-01 00:00,POSTAL REGULATORY COMMISSION,CREATE,,2006-10-01 00:00,500185220,POSTAL REGULATORY COMMISSION,Department/Ind. Agency,2022-11-01 14:35,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=500185220,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=500185220,nextlevelchildren,POSTAL REGULATORY COMMISSION,1818,ACTIVE,FH Admin
/US FEDERAL GOVERNMENT/POSTAL SERVICE (300000018),POSTAL SERVICE (300000018),1800,018,,,,,IAE_DATA_TEAM,2017-10-05 12:35,POSTAL SERVICE,300000018,300000018,POSTAL SERVICE,1957-07-01 00:00,POSTAL SERVICE,CREATE,,1957-07-01 00:00,300000018,POSTAL SERVICE,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000018,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000018,nextlevelchildren,POSTAL SERVICE,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/PRESIDIO TRUST (300000080),PRESIDIO TRUST (300000080),9570,512,,,,,IAE_DATA_TEAM,2017-10-05 12:35,PRESIDIO TRUST,300000080,300000080,PRESIDIO TRUST,1957-07-01 00:00,PRESIDIO TRUST,CREATE,,1957-07-01 00:00,300000080,PRESIDIO TRUST,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000080,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000080,nextlevelchildren,PRESIDIO TRUST,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD (300000062),PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD (300000062),9526,535,,,,,IAE_DATA_TEAM,2017-10-05 12:35,PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD,300000062,300000062,PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD,2012-08-22 00:00,PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD,CREATE,,2012-08-22 00:00,300000062,PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000062,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000062,nextlevelchildren,PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/PUBLIC BUILDINGS REFORM BOARD (500176314),PUBLIC BUILDINGS REFORM BOARD (500176314),2902,290,,,,,brian.gilman+supadmin@gsa.gov,2021-03-11 11:53,PUBLIC BUILDINGS REFORM BOARD,500176314,500176314,PUBLIC BUILDINGS REFORM BOARD,2019-05-01 00:00,PUBLIC BUILDINGS REFORM BOARD,CREATE,,2019-05-01 00:00,500176314,PUBLIC BUILDINGS REFORM BOARD,Department/Ind. Agency,2021-04-06 14:21,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=500176314,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=500176314,nextlevelchildren,PUBLIC BUILDINGS REFORM BOARD,,ACTIVE,brian.gilman+supadmin@gsa.gov
/US FEDERAL GOVERNMENT/RAILROAD RETIREMENT BOARD (100188643),RAILROAD RETIREMENT BOARD (100188643),6000,060,,,,,,2016-04-13 00:00,RAILROAD RETIREMENT BOARD,100188643,100188643,RAILROAD RETIREMENT BOARD,1957-07-01 00:00,RAILROAD RETIREMENT BOARD,CREATE,,1957-07-01 00:00,100188643,RAILROAD RETIREMENT BOARD,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100188643,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100188643,nextlevelchildren,RAILROAD RETIREMENT BOARD,6000,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/RECOVERY ACCOUNTABILITY AND TRANSPARENCY BOARD (300000077),RECOVERY ACCOUNTABILITY AND TRANSPARENCY BOARD (300000077),9561,539,,,,,IAE_DATA_TEAM,2017-10-05 12:35,RECOVERY ACCOUNTABILITY AND TRANSPARENCY BOARD,300000077,300000077,RECOVERY ACCOUNTABILITY AND TRANSPARENCY BOARD,2009-02-17 00:00,RECOVERY ACCOUNTABILITY AND TRANSPARENCY BOARD,CREATE,,2009-02-17 00:00,300000077,RECOVERY ACCOUNTABILITY AND TRANSPARENCY BOARD,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000077,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000077,nextlevelchildren,RECOVERY ACCOUNTABILITY AND TRANSPARENCY BOARD,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/MARINE MAMMAL COMMISSION (300000055),MARINE MAMMAL COMMISSION (300000055),9513,387,,,,,IAE_DATA_TEAM,2017-10-05 12:35,MARINE MAMMAL COMMISSION,300000055,300000055,MARINE MAMMAL COMMISSION,1957-07-01 00:00,MARINE MAMMAL COMMISSION,CREATE,,1957-07-01 00:00,300000055,MARINE MAMMAL COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000055,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000055,nextlevelchildren,MARINE MAMMAL COMMISSION,,ACTIVE,FPDS_START_DATE_FIX
