path,name,budget
"/US FEDERAL GOVERNMENT/[budget] Department of Justice (11)/[budget] Bureau of Alcohol, Tobacco, Firearms, and Explosives (11-14)","[budget] Bureau of Alcohol, Tobacco, Firearms, and Explosives (11-14)","{'budget_level': 'bureau', 'agency_code': 11, 'agency_name': 'Department of Justice', 'bureau_code': 14, 'bureau_name': 'Bureau of Alcohol, Tobacco, Firearms, and Explosives', '2019': 1320000, '2020': 1352000, '2021': 1434000, '2022': 1480000, '2023': 1742000, '2024': 1899000, 'name': 'Bureau of Alcohol, Tobacco, Firearms, and Explosives', 'id': '11-14'}"
/US FEDERAL GOVERNMENT/[budget] Department of Justice (11)/[budget] National Security Division (11-8),[budget] National Security Division (11-8),"{'budget_level': 'bureau', 'agency_code': 11, 'agency_name': 'Department of Justice', 'bureau_code': 8, 'bureau_name': 'National Security Division', '2019': 100000, '2020': 104000, '2021': 98000, '2022': 118000, '2023': 138000, '2024': 144000, 'name': 'National Security Division', 'id': '11-8'}"
/US FEDERAL GOVERNMENT/[budget] Department of Justice (11)/[budget] Interagency Law Enforcement (11-7),[budget] Interagency Law Enforcement (11-7),"{'budget_level': 'bureau', 'agency_code': 11, 'agency_name': 'Department of Justice', 'bureau_code': 7, 'bureau_name': 'Interagency Law Enforcement', '2019': 523000, '2020': 582000, '2021': 553000, '2022': 565000, '2023': 499000, '2024': 503000, 'name': 'Interagency Law Enforcement', 'id': '11-7'}"
"/US FEDERAL GOVERNMENT/[budget] Department of Justice (11)/[budget] State, Local, and Tribal Justice Assistance (11-21)","[budget] State, Local, and Tribal Justice Assistance (11-21)","{'budget_level': 'bureau', 'agency_code': 11, 'agency_name': 'Department of Justice', 'bureau_code': 21, 'bureau_name': 'State, Local, and Tribal Justice Assistance', '2019': 4567000, '2020': 5624000, '2021': 4940000, '2022': 5360000, '2023': 11628000, '2024': 8272000, 'name': 'State, Local, and Tribal Justice Assistance', 'id': '11-21'}"
/US FEDERAL GOVERNMENT/[budget] Department of Veterans Affairs (29),[budget] Department of Veterans Affairs (29),"{'budget_level': 'agency', 'agency_code': 29, 'agency_name': 'Department of Veterans Affairs', '2019': 199580000, '2020': 218394000, '2021': 233784000, '2022': 273863000, '2023': 304529000, '2024': 320491000, 'name': 'Department of Veterans Affairs', 'id': '29'}"
/US FEDERAL GOVERNMENT/[budget] Department of Veterans Affairs (29)/[budget] Veterans Health Administration (29-15),[budget] Veterans Health Administration (29-15),"{'budget_level': 'bureau', 'agency_code': 29, 'agency_name': 'Department of Veterans Affairs', 'bureau_code': 15, 'bureau_name': 'Veterans Health Administration', '2019': 82354000, '2020': 90806000, '2021': 99867000, '2022': 111476000, '2023': 120598000, '2024': 124824000, 'name': 'Veterans Health Administration', 'id': '29-15'}"
/US FEDERAL GOVERNMENT/[budget] Department of Veterans Affairs (29)/[budget] Departmental Administration (29-40),[budget] Departmental Administration (29-40),"{'budget_level': 'bureau', 'agency_code': 29, 'agency_name': 'Department of Veterans Affairs', 'bureau_code': 40, 'bureau_name': 'Departmental Administration', '2019': 7539000, '2020': 9057000, '2021': 9803000, '2022': 9731000, '2023': 16218000, '2024': 12240000, 'name': 'Departmental Administration', 'id': '29-40'}"
/US FEDERAL GOVERNMENT/[budget] Department of Veterans Affairs (29)/[budget] Departmental Administration (29-40)/[budget] Office of Inspector General (29-40-170),[budget] Office of Inspector General (29-40-170),"{'budget_level': 'account', 'agency_code': 29, 'agency_name': 'Department of Veterans Affairs', 'bureau_code': 40, 'bureau_name': 'Departmental Administration', 'account_code': 170, 'account_name': 'Office of Inspector General', '2019': 189000, '2020': 213000, '2021': 224000, '2022': 250000, '2023': 238000, '2024': 282000, 'name': 'Office of Inspector General', 'id': '29-40-170'}"
/US FEDERAL GOVERNMENT/[budget] Department of Veterans Affairs (29)/[budget] Benefits Programs (29-25),[budget] Benefits Programs (29-25),"{'budget_level': 'bureau', 'agency_code': 29, 'agency_name': 'Department of Veterans Affairs', 'bureau_code': 25, 'bureau_name': 'Benefits Programs', '2019': 117550000, '2020': 125635000, '2021': 131629000, '2022': 157380000, '2023': 172275000, '2024': 187978000, 'name': 'Benefits Programs', 'id': '29-25'}"
/US FEDERAL GOVERNMENT/[budget] Department of Veterans Affairs (29)/[budget] Benefits Programs (29-25)/[budget] Native American Veteran Housing Loan Program (29-25-1120),[budget] Native American Veteran Housing Loan Program (29-25-1120),"{'budget_level': 'account', 'agency_code': 29, 'agency_name': 'Department of Veterans Affairs', 'bureau_code': 25, 'bureau_name': 'Benefits Programs', 'account_code': 1120, 'account_name': 'Native American Veteran Housing Loan Program', '2019': 4000, '2020': 3000, '2021': 2000, '2022': 5000, '2023': 7000, '2024': 3000, 'name': 'Native American Veteran Housing Loan Program', 'id': '29-25-1120'}"
/US FEDERAL GOVERNMENT/[budget] Department of Veterans Affairs (29)/[budget] Benefits Programs (29-25)/[budget] Veterans Housing Benefit Program (29-25-1119),[budget] Veterans Housing Benefit Program (29-25-1119),"{'budget_level': 'account', 'agency_code': 29, 'agency_name': 'Department of Veterans Affairs', 'bureau_code': 25, 'bureau_name': 'Benefits Programs', 'account_code': 1119, 'account_name': 'Veterans Housing Benefit Program', '2019': 392000, '2020': 243000, '2021': 728000, '2022': 2122000, '2023': 1280000, '2024': 320000, 'name': 'Veterans Housing Benefit Program', 'id': '29-25-1119'}"
/US FEDERAL GOVERNMENT/[budget] Office of Government Ethics (434),[budget] Office of Government Ethics (434),"{'budget_level': 'agency', 'agency_code': 434, 'agency_name': 'Office of Government Ethics', '2019': 16000, '2020': 18000, '2021': 17000, '2022': 19000, '2023': 24000, '2024': 23000, 'name': 'Office of Government Ethics', 'id': '434'}"
/US FEDERAL GOVERNMENT/[budget] Office of Government Ethics (434)/[budget] Office of Government Ethics (434-0),[budget] Office of Government Ethics (434-0),"{'budget_level': 'bureau', 'agency_code': 434, 'agency_name': 'Office of Government Ethics', 'bureau_code': 0, 'bureau_name': 'Office of Government Ethics', '2019': 16000, '2020': 18000, '2021': 17000, '2022': 19000, '2023': 24000, '2024': 23000, 'name': 'Office of Government Ethics', 'id': '434-0'}"
/US FEDERAL GOVERNMENT/[budget] Public Company Accounting Oversight Board (526),[budget] Public Company Accounting Oversight Board (526),"{'budget_level': 'agency', 'agency_code': 526, 'agency_name': 'Public Company Accounting Oversight Board', '2019': 264000, '2020': 266000, '2021': 273000, '2022': 295000, '2023': 340000, '2024': 341000, 'name': 'Public Company Accounting Oversight Board', 'id': '526'}"
/US FEDERAL GOVERNMENT/[budget] Public Company Accounting Oversight Board (526)/[budget] Public Company Accounting Oversight Board (526-0),[budget] Public Company Accounting Oversight Board (526-0),"{'budget_level': 'bureau', 'agency_code': 526, 'agency_name': 'Public Company Accounting Oversight Board', 'bureau_code': 0, 'bureau_name': 'Public Company Accounting Oversight Board', '2019': 264000, '2020': 266000, '2021': 273000, '2022': 295000, '2023': 340000, '2024': 341000, 'name': 'Public Company Accounting Oversight Board', 'id': '526-0'}"
/US FEDERAL GOVERNMENT/[budget] Access Board (310),[budget] Access Board (310),"{'budget_level': 'agency', 'agency_code': 310, 'agency_name': 'Access Board', '2019': 9000, '2020': 7000, '2021': 9000, '2022': 8000, '2023': 11000, '2024': 10000, 'name': 'Access Board', 'id': '310'}"
/US FEDERAL GOVERNMENT/[budget] Access Board (310)/[budget] Access Board (310-0),[budget] Access Board (310-0),"{'budget_level': 'bureau', 'agency_code': 310, 'agency_name': 'Access Board', 'bureau_code': 0, 'bureau_name': 'Access Board', '2019': 9000, '2020': 7000, '2021': 9000, '2022': 8000, '2023': 11000, '2024': 10000, 'name': 'Access Board', 'id': '310-0'}"
/US FEDERAL GOVERNMENT/[budget] Railroad Retirement Board (446),[budget] Railroad Retirement Board (446),"{'budget_level': 'agency', 'agency_code': 446, 'agency_name': 'Railroad Retirement Board', '2019': 7796000, '2020': 7446000, '2021': 2072000, '2022': 11516000, '2023': 7686000, '2024': 7816000, 'name': 'Railroad Retirement Board', 'id': '446'}"
/US FEDERAL GOVERNMENT/[budget] Railroad Retirement Board (446)/[budget] Railroad Retirement Board (446-0),[budget] Railroad Retirement Board (446-0),"{'budget_level': 'bureau', 'agency_code': 446, 'agency_name': 'Railroad Retirement Board', 'bureau_code': 0, 'bureau_name': 'Railroad Retirement Board', '2019': 7796000, '2020': 7446000, '2021': 2072000, '2022': 11516000, '2023': 7686000, '2024': 7816000, 'name': 'Railroad Retirement Board', 'id': '446-0'}"
/US FEDERAL GOVERNMENT/[budget] Smithsonian Institution (452),[budget] Smithsonian Institution (452),"{'budget_level': 'agency', 'agency_code': 452, 'agency_name': 'Smithsonian Institution', '2019': 1111000, '2020': 1223000, '2021': 1213000, '2022': 1270000, '2023': 1515000, '2024': 1562000, 'name': 'Smithsonian Institution', 'id': '452'}"
/US FEDERAL GOVERNMENT/[budget] Smithsonian Institution (452)/[budget] Smithsonian Institution (452-0),[budget] Smithsonian Institution (452-0),"{'budget_level': 'bureau', 'agency_code': 452, 'agency_name': 'Smithsonian Institution', 'bureau_code': 0, 'bureau_name': 'Smithsonian Institution', '2019': 1111000, '2020': 1223000, '2021': 1213000, '2022': 1270000, '2023': 1515000, '2024': 1562000, 'name': 'Smithsonian Institution', 'id': '452-0'}"
"/US FEDERAL GOVERNMENT/[budget] Smithsonian Institution (452)/[budget] Smithsonian Institution (452-0)/[budget] Capital Repair and Restoration, JFK Center for the Performing Arts (452-0-303)","[budget] Capital Repair and Restoration, JFK Center for the Performing Arts (452-0-303)","{'budget_level': 'account', 'agency_code': 452, 'agency_name': 'Smithsonian Institution', 'bureau_code': 0, 'bureau_name': 'Smithsonian Institution', 'account_code': 303, 'account_name': 'Capital Repair and Restoration, JFK Center for the Performing Arts', '2019': 13000, '2020': 8000, '2021': 7000, '2022': 18000, '2023': 20000, '2024': 17000, 'name': 'Capital Repair and Restoration, JFK Center for the Performing Arts', 'id': '452-0-303'}"
"/US FEDERAL GOVERNMENT/[budget] Smithsonian Institution (452)/[budget] Smithsonian Institution (452-0)/[budget] Operations and Maintenance, JFK Center for the Performing Arts (452-0-302)","[budget] Operations and Maintenance, JFK Center for the Performing Arts (452-0-302)","{'budget_level': 'account', 'agency_code': 452, 'agency_name': 'Smithsonian Institution', 'bureau_code': 0, 'bureau_name': 'Smithsonian Institution', 'account_code': 302, 'account_name': 'Operations and Maintenance, JFK Center for the Performing Arts', '2019': 23000, '2020': 43000, '2021': 29000, '2022': 27000, '2023': 33000, '2024': 31000, 'name': 'Operations and Maintenance, JFK Center for the Performing Arts', 'id': '452-0-302'}"
"/US FEDERAL GOVERNMENT/[budget] Smithsonian Institution (452)/[budget] Smithsonian Institution (452-0)/[budget] Salaries and Expenses, Woodrow Wilson International Center for Scholars (452-0-400)","[budget] Salaries and Expenses, Woodrow Wilson International Center for Scholars (452-0-400)","{'budget_level': 'account', 'agency_code': 452, 'agency_name': 'Smithsonian Institution', 'bureau_code': 0, 'bureau_name': 'Smithsonian Institution', 'account_code': 400, 'account_name': 'Salaries and Expenses, Woodrow Wilson International Center for Scholars', '2019': 11000, '2020': 11000, '2021': 14000, '2022': 14000, '2023': 17000, '2024': 16000, 'name': 'Salaries and Expenses, Woodrow Wilson International Center for Scholars', 'id': '452-0-400'}"
/US FEDERAL GOVERNMENT/[budget] Nuclear Regulatory Commission (429),[budget] Nuclear Regulatory Commission (429),"{'budget_level': 'agency', 'agency_code': 429, 'agency_name': 'Nuclear Regulatory Commission', '2019': 113000, '2020': 177000, '2021': 143000, '2022': 142000, '2023': 187000, '2024': 151000, 'name': 'Nuclear Regulatory Commission', 'id': '429'}"
/US FEDERAL GOVERNMENT/[budget] Nuclear Regulatory Commission (429)/[budget] Nuclear Regulatory Commission (429-0),[budget] Nuclear Regulatory Commission (429-0),"{'budget_level': 'bureau', 'agency_code': 429, 'agency_name': 'Nuclear Regulatory Commission', 'bureau_code': 0, 'bureau_name': 'Nuclear Regulatory Commission', '2019': 113000, '2020': 177000, '2021': 143000, '2022': 142000, '2023': 187000, '2024': 151000, 'name': 'Nuclear Regulatory Commission', 'id': '429-0'}"
/US FEDERAL GOVERNMENT/[budget] Nuclear Regulatory Commission (429)/[budget] Nuclear Regulatory Commission (429-0)/[budget] Office of Inspector General (429-0-300),[budget] Office of Inspector General (429-0-300),"{'budget_level': 'account', 'agency_code': 429, 'agency_name': 'Nuclear Regulatory Commission', 'bureau_code': 0, 'bureau_name': 'Nuclear Regulatory Commission', 'account_code': 300, 'account_name': 'Office of Inspector General', '2019': 11000, '2020': 12000, '2021': 13000, '2022': 14000, '2023': 16000, '2024': 19000, 'name': 'Office of Inspector General', 'id': '429-0-300'}"
/US FEDERAL GOVERNMENT/[budget] Federal Housing Finance Agency (537),[budget] Federal Housing Finance Agency (537),"{'budget_level': 'agency', 'agency_code': 537, 'agency_name': 'Federal Housing Finance Agency', '2019': 259000, '2020': 284000, '2021': 305000, '2022': 333000, '2023': 379000, '2024': 400000, 'name': 'Federal Housing Finance Agency', 'id': '537'}"
/US FEDERAL GOVERNMENT/[budget] Federal Housing Finance Agency (537)/[budget] Federal Housing Finance Agency (537-0),[budget] Federal Housing Finance Agency (537-0),"{'budget_level': 'bureau', 'agency_code': 537, 'agency_name': 'Federal Housing Finance Agency', 'bureau_code': 0, 'bureau_name': 'Federal Housing Finance Agency', '2019': 259000, '2020': 284000, '2021': 305000, '2022': 333000, '2023': 379000, '2024': 400000, 'name': 'Federal Housing Finance Agency', 'id': '537-0'}"
/US FEDERAL GOVERNMENT/[budget] Federal Housing Finance Agency (537)/[budget] Federal Housing Finance Agency (537-0)/[budget] Office of Inspector General (537-0-5564),[budget] Office of Inspector General (537-0-5564),"{'budget_level': 'account', 'agency_code': 537, 'agency_name': 'Federal Housing Finance Agency', 'bureau_code': 0, 'bureau_name': 'Federal Housing Finance Agency', 'account_code': 5564, 'account_name': 'Office of Inspector General', '2019': 1000, '2020': -1000, '2021': 1000, '2022': 1000, '2023': 0, '2024': 2000, 'name': 'Office of Inspector General', 'id': '537-0-5564'}"
/US FEDERAL GOVERNMENT/[budget] Legal Services Corporation (385),[budget] Legal Services Corporation (385),"{'budget_level': 'agency', 'agency_code': 385, 'agency_name': 'Legal Services Corporation', '2019': 467000, '2020': 490000, '2021': 465000, '2022': 529000, '2023': 580000, '2024': 800000, 'name': 'Legal Services Corporation', 'id': '385'}"
/US FEDERAL GOVERNMENT/[budget] Legal Services Corporation (385)/[budget] Legal Services Corporation (385-0),[budget] Legal Services Corporation (385-0),"{'budget_level': 'bureau', 'agency_code': 385, 'agency_name': 'Legal Services Corporation', 'bureau_code': 0, 'bureau_name': 'Legal Services Corporation', '2019': 467000, '2020': 490000, '2021': 465000, '2022': 529000, '2023': 580000, '2024': 800000, 'name': 'Legal Services Corporation', 'id': '385-0'}"
/US FEDERAL GOVERNMENT/[budget] Election Assistance Commission (525),[budget] Election Assistance Commission (525),"{'budget_level': 'agency', 'agency_code': 525, 'agency_name': 'Election Assistance Commission', '2019': 8000, '2020': 830000, '2021': -26000, '2022': 68000, '2023': 115000, '2024': 1952000, 'name': 'Election Assistance Commission', 'id': '525'}"
/US FEDERAL GOVERNMENT/[budget] Election Assistance Commission (525)/[budget] Election Assistance Commission (525-0),[budget] Election Assistance Commission (525-0),"{'budget_level': 'bureau', 'agency_code': 525, 'agency_name': 'Election Assistance Commission', 'bureau_code': 0, 'bureau_name': 'Election Assistance Commission', '2019': 8000, '2020': 830000, '2021': -26000, '2022': 68000, '2023': 115000, '2024': 1952000, 'name': 'Election Assistance Commission', 'id': '525-0'}"
/US FEDERAL GOVERNMENT/[budget] National Oilheat Research Alliance (544),[budget] National Oilheat Research Alliance (544),"{'budget_level': 'agency', 'agency_code': 544, 'agency_name': 'National Oilheat Research Alliance', '2019': 7000, '2020': 7000, '2021': 7000, '2022': 6000, '2023': 6000, '2024': 6000, 'name': 'National Oilheat Research Alliance', 'id': '544'}"
/US FEDERAL GOVERNMENT/[budget] National Oilheat Research Alliance (544)/[budget] National Oilheat Research Alliance (544-0),[budget] National Oilheat Research Alliance (544-0),"{'budget_level': 'bureau', 'agency_code': 544, 'agency_name': 'National Oilheat Research Alliance', 'bureau_code': 0, 'bureau_name': 'National Oilheat Research Alliance', '2019': 7000, '2020': 7000, '2021': 7000, '2022': 6000, '2023': 6000, '2024': 6000, 'name': 'National Oilheat Research Alliance', 'id': '544-0'}"
/US FEDERAL GOVERNMENT/[budget] Corporation for Travel Promotion (580),[budget] Corporation for Travel Promotion (580),"{'budget_level': 'agency', 'agency_code': 580, 'agency_name': 'Corporation for Travel Promotion', '2019': 93000, '2020': 94000, '2021': 18000, '2022': 307000, '2023': 148000, '2024': 100000, 'name': 'Corporation for Travel Promotion', 'id': '580'}"
/US FEDERAL GOVERNMENT/[budget] Corporation for Travel Promotion (580)/[budget] Corporation for Travel Promotion (580-0),[budget] Corporation for Travel Promotion (580-0),"{'budget_level': 'bureau', 'agency_code': 580, 'agency_name': 'Corporation for Travel Promotion', 'bureau_code': 0, 'bureau_name': 'Corporation for Travel Promotion', '2019': 93000, '2020': 94000, '2021': 18000, '2022': 307000, '2023': 148000, '2024': 100000, 'name': 'Corporation for Travel Promotion', 'id': '580-0'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5),[budget] Department of Agriculture (5),"{'budget_level': 'agency', 'agency_code': 5, 'agency_name': 'Department of Agriculture', '2019': 150125000, '2020': 184221000, '2021': 235192000, '2022': 245210000, '2023': 260599000, '2024': 229686000, 'name': 'Department of Agriculture', 'id': '5'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Food Safety and Inspection Service (5-35),[budget] Food Safety and Inspection Service (5-35),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 35, 'bureau_name': 'Food Safety and Inspection Service', '2019': 1052000, '2020': 1061000, '2021': 1088000, '2022': 1146000, '2023': 1197000, '2024': 1342000, 'name': 'Food Safety and Inspection Service', 'id': '5-35'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Natural Resources Conservation Service (5-53),[budget] Natural Resources Conservation Service (5-53),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 53, 'bureau_name': 'Natural Resources Conservation Service', '2019': 4017000, '2020': 4279000, '2021': 4325000, '2022': 4287000, '2023': 6257000, '2024': 9379000, 'name': 'Natural Resources Conservation Service', 'id': '5-53'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Natural Resources Conservation Service (5-53)/[budget] Water Bank Program (5-53-3320),[budget] Water Bank Program (5-53-3320),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 53, 'bureau_name': 'Natural Resources Conservation Service', 'account_code': 3320, 'account_name': 'Water Bank Program', '2019': 3000, '2020': 3000, '2021': 4000, '2022': 4000, '2023': 8000, '2024': 8000, 'name': 'Water Bank Program', 'id': '5-53-3320'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Natural Resources Conservation Service (5-53)/[budget] Watershed Rehabilitation Program (5-53-1002),[budget] Watershed Rehabilitation Program (5-53-1002),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 53, 'bureau_name': 'Natural Resources Conservation Service', 'account_code': 1002, 'account_name': 'Watershed Rehabilitation Program', '2019': 33000, '2020': 23000, '2021': 39000, '2022': 32000, '2023': 31000, '2024': 49000, 'name': 'Watershed Rehabilitation Program', 'id': '5-53-1002'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Natural Resources Conservation Service (5-53)/[budget] Healthy Forests Reserve Program (5-53-1090),[budget] Healthy Forests Reserve Program (5-53-1090),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 53, 'bureau_name': 'Natural Resources Conservation Service', 'account_code': 1090, 'account_name': 'Healthy Forests Reserve Program', '2019': 0, '2020': 0, '2021': 0, '2022': 0, '2023': 1000, '2024': 5000, 'name': 'Healthy Forests Reserve Program', 'id': '5-53-1090'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] National Agricultural Statistics Service (5-15),[budget] National Agricultural Statistics Service (5-15),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 15, 'bureau_name': 'National Agricultural Statistics Service', '2019': 170000, '2020': 166000, '2021': 180000, '2022': 196000, '2023': 260000, '2024': 236000, 'name': 'National Agricultural Statistics Service', 'id': '5-15'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Rural Business-Cooperative Service (5-65),[budget] Rural Business-Cooperative Service (5-65),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 65, 'bureau_name': 'Rural Business-Cooperative Service', '2019': -22000, '2020': 51000, '2021': 193000, '2022': 264000, '2023': 997000, '2024': 922000, 'name': 'Rural Business-Cooperative Service', 'id': '5-65'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Rural Business-Cooperative Service (5-65)/[budget] Biorefinery Assistance Program (5-65-3106),[budget] Biorefinery Assistance Program (5-65-3106),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 65, 'bureau_name': 'Rural Business-Cooperative Service', 'account_code': 3106, 'account_name': 'Biorefinery Assistance Program', '2019': 0, '2020': 0, '2021': 40000, '2022': 0, '2023': 316000, '2024': 16000, 'name': 'Biorefinery Assistance Program', 'id': '5-65-3106'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Rural Business-Cooperative Service (5-65)/[budget] Intermediary Relending Program Fund (5-65-2069),[budget] Intermediary Relending Program Fund (5-65-2069),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 65, 'bureau_name': 'Rural Business-Cooperative Service', 'account_code': 2069, 'account_name': 'Intermediary Relending Program Fund', '2019': 9000, '2020': 11000, '2021': 8000, '2022': 8000, '2023': 7000, '2024': 7000, 'name': 'Intermediary Relending Program Fund', 'id': '5-65-2069'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Rural Business-Cooperative Service (5-65)/[budget] Rural Microentrepreneur Assistance Program (5-65-1955),[budget] Rural Microentrepreneur Assistance Program (5-65-1955),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 65, 'bureau_name': 'Rural Business-Cooperative Service', 'account_code': 1955, 'account_name': 'Rural Microentrepreneur Assistance Program', '2019': 3000, '2020': 5000, '2021': 3000, '2022': 4000, '2023': 3000, '2024': 4000, 'name': 'Rural Microentrepreneur Assistance Program', 'id': '5-65-1955'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Rural Business-Cooperative Service (5-65)/[budget] Rural Business Program (5-65-1902),[budget] Rural Business Program (5-65-1902),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 65, 'bureau_name': 'Rural Business-Cooperative Service', 'account_code': 1902, 'account_name': 'Rural Business Program', '2019': 88000, '2020': 86000, '2021': 89000, '2022': 113000, '2023': 159000, '2024': 90000, 'name': 'Rural Business Program', 'id': '5-65-1902'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Rural Business-Cooperative Service (5-65)/[budget] Rural Energy for America Program (5-65-1908),[budget] Rural Energy for America Program (5-65-1908),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 65, 'bureau_name': 'Rural Business-Cooperative Service', 'account_code': 1908, 'account_name': 'Rural Energy for America Program', '2019': 42000, '2020': 46000, '2021': 43000, '2022': 41000, '2023': 150000, '2024': 455000, 'name': 'Rural Energy for America Program', 'id': '5-65-1908'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] National Institute of Food and Agriculture (5-20),[budget] National Institute of Food and Agriculture (5-20),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 20, 'bureau_name': 'National Institute of Food and Agriculture', '2019': 1404000, '2020': 1388000, '2021': 1410000, '2022': 1582000, '2023': 1828000, '2024': 2133000, 'name': 'National Institute of Food and Agriculture', 'id': '5-20'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Office of the Secretary (5-3),[budget] Office of the Secretary (5-3),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 3, 'bureau_name': 'Office of the Secretary', '2019': 517000, '2020': 15842000, '2021': 25382000, '2022': 10237000, '2023': 6823000, '2024': 4950000, 'name': 'Office of the Secretary', 'id': '5-3'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Office of the Secretary (5-3)/[budget] Food Supply Chain and Agriculture Pandemic Response Program (5-3-408),[budget] Food Supply Chain and Agriculture Pandemic Response Program (5-3-408),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 3, 'bureau_name': 'Office of the Secretary', 'account_code': 408, 'account_name': 'Food Supply Chain and Agriculture Pandemic Response Program', '2019': 0, '2020': 0, '2021': 0, '2022': 25000, '2023': 1134000, '2024': 1081000, 'name': 'Food Supply Chain and Agriculture Pandemic Response Program', 'id': '5-3-408'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Agricultural Marketing Service (5-45),[budget] Agricultural Marketing Service (5-45),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 45, 'bureau_name': 'Agricultural Marketing Service', '2019': 1323000, '2020': 1366000, '2021': 2004000, '2022': 2047000, '2023': 4071000, '2024': 2085000, 'name': 'Agricultural Marketing Service', 'id': '5-45'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Foreign Agricultural Service (5-68),[budget] Foreign Agricultural Service (5-68),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 68, 'bureau_name': 'Foreign Agricultural Service', '2019': 1720000, '2020': 2099000, '2021': 2230000, '2022': 2636000, '2023': 2066000, '2024': 1925000, 'name': 'Foreign Agricultural Service', 'id': '5-68'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Foreign Agricultural Service (5-68)/[budget] McGovern-Dole International Food for Education and Child Nutrition Program (5-68-2903),[budget] McGovern-Dole International Food for Education and Child Nutrition Program (5-68-2903),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 68, 'bureau_name': 'Foreign Agricultural Service', 'account_code': 2903, 'account_name': 'McGovern-Dole International Food for Education and Child Nutrition Program', '2019': 128000, '2020': 201000, '2021': 214000, '2022': 193000, '2023': 492000, '2024': 370000, 'name': 'McGovern-Dole International Food for Education and Child Nutrition Program', 'id': '5-68-2903'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Forest Service (5-96),[budget] Forest Service (5-96),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 96, 'bureau_name': 'Forest Service', '2019': 6443000, '2020': 6346000, '2021': 8550000, '2022': 8485000, '2023': 11249000, '2024': 11662000, 'name': 'Forest Service', 'id': '5-96'}"
