path,name,budget_account_code,budget_account_name,budget_agency_code,budget_agency_name,budget_budget_level,budget_bureau_code,budget_bureau_name,budget_id,budget_name,budget_normalized_name,cisagov_name,cisagov_normalized_name,federalregister_agency_url,federalregister_child_ids,federalregister_child_slugs,federalregister_description,federalregister_id,federalregister_json_url,federalregister_logo_medium_url,federalregister_logo_small_url,federalregister_logo_thumb_url,federalregister_name,federalregister_normalized_name,federalregister_recent_articles_url,federalregister_short_name,federalregister_slug,federalregister_url,opmgov_employment,opmgov_id,opmgov_name,opmgov_normalized_name,opmgov_type,samgov_agencycode,samgov_cgaclist_0_cgac,samgov_cgaclist_1_cgac,samgov_cgaclist_2_cgac,samgov_cgaclist_3_cgac,samgov_cgaclist_4_cgac,samgov_createdby,samgov_createddate,samgov_fhagencyorgname,samgov_fhdeptindagencyorgid,samgov_fhorgid,samgov_fhorgname,samgov_fhorgnamehistory_0_effectivedate,samgov_fhorgnamehistory_0_fhorgname,samgov_fhorgparenthistory_0_actiontype,samgov_fhorgparenthistory_0_codehierarchy,samgov_fhorgparenthistory_0_effectivedate,samgov_fhorgparenthistory_0_fhfullparentpathid,samgov_fhorgparenthistory_0_fhfullparentpathname,samgov_fhorgtype,samgov_lastupdateddate,samgov_links_0_href,samgov_links_0_rel,samgov_links_1_href,samgov_links_1_rel,samgov_name,samgov_normalized_name,samgov_oldfpdsofficecode,samgov_status,samgov_updatedby,usagov_contact_0_link,usagov_contact_0_title,usagov_contact_1_link,usagov_contact_1_title,usagov_contact_2_link,usagov_contact_2_title,usagov_contact_3_link,usagov_contact_3_title,usagov_contact_4_link,usagov_contact_4_title,usagov_contact_5_link,usagov_contact_5_title,usagov_contact_6_link,usagov_contact_6_title,usagov_contact_7_link,usagov_contact_7_title,usagov_contact_8_link,usagov_contact_8_title,usagov_description,usagov_email_0_link,usagov_email_0_title,usagov_email_1_link,usagov_email_1_title,usagov_main_address_0,usagov_main_address_1,usagov_main_address_2,usagov_main_address_3,usagov_main_address_4,usagov_main_address_5,usagov_name,usagov_normalized_name,usagov_phone_number_0,usagov_phone_number_1,usagov_phone_number_2,usagov_toll-free_number_0,usagov_toll-free_number_1,usagov_toll-free_number_2,usagov_tty_0,usagov_tty_1,usagov_tty_2,usagov_website_0_link,usagov_website_0_title,usagov_website_1_link,usagov_website_1_title,usagov_website_2_link,usagov_website_2_title,usagov_website_3_link,usagov_website_3_title,usaspending_abbreviation,usaspending_active_fq,usaspending_active_fy,usaspending_agency_id,usaspending_agency_name,usaspending_agency_slug,usaspending_budget_authority_amount,usaspending_code,usaspending_congressional_justification_url,usaspending_current_total_budget_authority_amount,usaspending_id,usaspending_name,usaspending_new_award_count,usaspending_normalized_name,usaspending_obligated_amount,usaspending_outlay_amount,usaspending_percentage_of_total_budget_authority,usaspending_toptier_code,usaspending_total_obligations,usaspending_transaction_count,usgovmanual_addresses_0_email,usgovmanual_addresses_0_fax,usgovmanual_addresses_0_phone,usgovmanual_addresses_0_phone2,usgovmanual_addresses_0_url,usgovmanual_addresses_1_email,usgovmanual_addresses_1_fax,usgovmanual_addresses_1_phone,usgovmanual_addresses_1_url,usgovmanual_addresses_2_email,usgovmanual_addresses_2_phone,usgovmanual_addresses_2_url,usgovmanual_addresses_3_url,usgovmanual_addresses_4_url,usgovmanual_addresses_5_url,usgovmanual_category,usgovmanual_id,usgovmanual_introduction,usgovmanual_mission_statement_records_0_text,usgovmanual_mission_statement_records_1_note,usgovmanual_mission_statement_records_1_text,usgovmanual_name,usgovmanual_normalized_name,usgovmanual_organization_chart
/US FEDERAL GOVERNMENT/ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD (100114157),ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD (100114157),,,,,,,,,,,,,http://www.access-board.gov/,[],[],"The Access Board is an independent Federal agency devoted to accessibility for people with disabilities.  Created in 1973 to ensure access to federally funded facilities, the Board is now a leading source of information on accessible design.  The Board develops and maintains design criteria for the built environment, transit vehicles, telecommunications equipment, and for electronic and information technology.  It also provides technical assistance and training on these requirements and on accessible design and continues to enforce accessibility standards that cover federally funded facilities.

The Board is structured to function as a coordinating body among Federal agencies and to directly represent the public, particularly people with disabilities.  Half of its members are representatives from most of the Federal departments.  The other half is comprised of members of the public appointed by the President, a majority of whom must have a disability. 
",28,https://www.federalregister.gov/api/v1/agencies/28,https://agency-logos.federalregister.gov/28/medium.gif?1319744135,https://agency-logos.federalregister.gov/28/small.gif?1319744135,https://agency-logos.federalregister.gov/28/thumb.gif?1319744135,Architectural and Transportation Barriers Compliance Board,Architectural and Transportation Barriers Compliance Board,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=28&order=newest,ATBCB,architectural-and-transportation-barriers-compliance-board,https://www.federalregister.gov/agencies/architectural-and-transportation-barriers-compliance-board,41,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,Architectural and Transportation Barriers Compliance Board,Small Independent Agencies (less than 100 employees),9532,310,,,,,,2010-03-29 00:00,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,100114157,100114157,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,1957-07-01 00:00,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,CREATE,,1957-07-01 00:00,100114157,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100114157,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100114157,nextlevelchildren,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,Architectural and Transportation Barriers Compliance Board,9532,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/ARMED FORCES RETIREMENT HOME (300000046),ARMED FORCES RETIREMENT HOME (300000046),,,200,Other Defense--Civil Programs,bureau,20,Armed Forces Retirement Home,200-20,Armed Forces Retirement Home,Armed Forces Retirement Home,,,,,,,,,,,,,,,,,,,,,,,84AF,084,,,,,IAE_DATA_TEAM,2017-10-05 12:35,ARMED FORCES RETIREMENT HOME,300000046,300000046,ARMED FORCES RETIREMENT HOME,1957-07-01 00:00,ARMED FORCES RETIREMENT HOME,CREATE,,1957-07-01 00:00,300000046,ARMED FORCES RETIREMENT HOME,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000046,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000046,nextlevelchildren,ARMED FORCES RETIREMENT HOME,Armed Forces Retirement HOME,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND (300000076),BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND (300000076),,,313,Barry Goldwater Scholarship and Excellence in Education Foundation,agency,,,313,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,,,,,,,,,,,,,,,,,,,,,,,9560,313,,,,,IAE_DATA_TEAM,2017-10-05 12:35,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND,300000076,300000076,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND,1986-10-18 00:00,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND,CREATE,,1986-10-18 00:00,300000076,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000076,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000076,nextlevelchildren,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND,Barry GOLDWATER Scholarship and Excellence in Education Fund,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/BOTANIC GARDEN (300000008),BOTANIC GARDEN (300000008),,,1,Legislative Branch,bureau,18,Botanic Garden,1-18,Botanic Garden,Botanic Garden,,,,,,,,,,,,,,,,,,,,,,,0902,009,,,,,IAE_DATA_TEAM,2017-10-05 12:35,BOTANIC GARDEN,300000008,300000008,BOTANIC GARDEN,1957-07-01 00:00,BOTANIC GARDEN,CREATE,,1957-07-01 00:00,300000008,BOTANIC GARDEN,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000008,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000008,nextlevelchildren,BOTANIC GARDEN,Botanic Garden,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/CENTRAL INTELLIGENCE AGENCY (300000038),CENTRAL INTELLIGENCE AGENCY (300000038),,,316,Central Intelligence Agency,agency,,,316,Central Intelligence Agency,Central Intelligence Agency,,,,,,,,,,,,,,,,,,,,,,,5600,056,,,,,IAE_DATA_TEAM,2017-10-05 12:35,CENTRAL INTELLIGENCE AGENCY,300000038,300000038,CENTRAL INTELLIGENCE AGENCY,1957-07-01 00:00,CENTRAL INTELLIGENCE AGENCY,CREATE,,1957-07-01 00:00,300000038,CENTRAL INTELLIGENCE AGENCY,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000038,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000038,nextlevelchildren,CENTRAL INTELLIGENCE AGENCY,Central Intelligence Agency,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD (300000079),CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD (300000079),,,510,Chemical Safety and Hazard Investigation Board,agency,,,510,Chemical Safety and Hazard Investigation Board,Chemical Safety and Hazard Investigation Board,,,,,,,,,,,,,,,,,,,,,,,9565,510,,,,,IAE_DATA_TEAM,2017-10-05 12:35,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,300000079,300000079,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,1957-07-01 00:00,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,CREATE,,1957-07-01 00:00,300000079,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000079,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000079,nextlevelchildren,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,Chemical Safety and Hazard Investigation Board,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION (300000043),CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION (300000043),,,,,,,,,,,,,,,,,,,,,,,,,,,,9,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,Christopher Columbus Fellowship Foundation,Small Independent Agencies (less than 100 employees),7635,465,,,,,IAE_DATA_TEAM,2017-10-05 12:35,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,300000043,300000043,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,1957-07-01 00:00,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,CREATE,,1957-07-01 00:00,300000043,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000043,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000043,nextlevelchildren,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,Christopher Columbus Fellowship Foundation,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"/US FEDERAL GOVERNMENT/COMMERCE, DEPARTMENT OF (100035122)","COMMERCE, DEPARTMENT OF (100035122)",,,,,,,,,,,,,http://www.commerce.gov/,,,"The Department of Commerce encourages, serves, and promotes the Nation's international trade, economic growth, and technological advancement. The Department provides a wide variety of programs through the competitive free enterprise system. It offers assistance and information to increase America's competitiveness in the world economy; administers programs to prevent unfair foreign trade competition; provides social and economic statistics and analyses for business and government planners; provides research and support for the increased use of scientific, engineering, and technological development; works to improve our understanding and benefits of the Earth's physical environment and oceanic resources; grants patents and registers trademarks; develops policies and conducts research on telecommunications; provides assistance to promote domestic economic development; and assists in the growth of minority businesses.",54,https://www.federalregister.gov/api/v1/agencies/54,https://agency-logos.federalregister.gov/54/medium.png?1279148895,https://agency-logos.federalregister.gov/54/small.png?1279148895,https://agency-logos.federalregister.gov/54/thumb.png?1279148895,Commerce Department,Commerce Department,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=54&order=newest,DOC,commerce-department,https://www.federalregister.gov/agencies/commerce-department,,,,,,1300,013,,,,,,1996-07-30 00:00,"COMMERCE, DEPARTMENT OF",100035122,100035122,"COMMERCE, DEPARTMENT OF",1957-07-01 00:00,"COMMERCE, DEPARTMENT OF",CREATE,,1957-07-01 00:00,100035122,"COMMERCE, DEPARTMENT OF",Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100035122,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100035122,nextlevelchildren,"COMMERCE, DEPARTMENT OF","Commerce, Department of",1300,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD (300000758),COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD (300000758),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9567,321,,,,,DATA TEAM,2017-12-11 15:45,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,300000758,300000758,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,1957-07-01 00:00,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,CREATE,,1957-07-01 00:00,300000758,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000758,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000758,nextlevelchildren,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,Commission for the Preservation of America'S Heritage Abroad,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGEABROAD,2,2023,1426,Commission for the Preservation of America's Heritage Abroad,commission-for-the-preservation-of-americas-heritage-abroad,0.0,,https://www.heritageabroad.gov/cj,13989327919708.82,321,Commission for the Preservation of America's Heritage Abroad,,Commission for the Preservation of America's Heritage Abroad,0.0,0.0,0.0,321,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/COMMISSION OF FINE ARTS (300000066),COMMISSION OF FINE ARTS (300000066),,,323,Commission of Fine Arts,agency,,,323,Commission of Fine Arts,Commission of Fine Arts,,,,,,,,,,,,,,,,,,,,,,,9537,323,,,,,IAE_DATA_TEAM,2017-10-05 12:35,COMMISSION OF FINE ARTS,300000066,300000066,COMMISSION OF FINE ARTS,1957-07-01 00:00,COMMISSION OF FINE ARTS,CREATE,,1957-07-01 00:00,300000066,COMMISSION OF FINE ARTS,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000066,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000066,nextlevelchildren,COMMISSION OF FINE ARTS,Commission of Fine ARTS,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/COMMISSION ON CIVIL RIGHTS (100002723),COMMISSION ON CIVIL RIGHTS (100002723),,,326,Commission on Civil Rights,agency,,,326,Commission on Civil Rights,Commission on Civil Rights,,,,,,,,,,,,,,,,,,,,,,,9517,326,,,,,MIGRATOR,1996-07-30 00:00,COMMISSION ON CIVIL RIGHTS,100002723,100002723,COMMISSION ON CIVIL RIGHTS,1957-07-01 00:00,COMMISSION ON CIVIL RIGHTS,CREATE,,1957-07-01 00:00,100002723,COMMISSION ON CIVIL RIGHTS,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100002723,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100002723,nextlevelchildren,COMMISSION ON CIVIL RIGHTS,Commission on Civil Rights,9517,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/COMMISSION ON SECURITY AND COOPERATION IN EUROPE (300000695),COMMISSION ON SECURITY AND COOPERATION IN EUROPE (300000695),110,Commission on Security and Cooperation in Europe:,1,Legislative Branch,account,45,Legislative Branch Boards and Commissions,1-45-110,Commission on Security and Cooperation in Europe:,Commission on Security and Cooperation in Europe:,,,,,,,,,,,,,,,,,,,,,,,0901,009,,,,,DATA TEAM,2017-12-19 13:16,COMMISSION ON SECURITY AND COOPERATION IN EUROPE,300000695,300000695,COMMISSION ON SECURITY AND COOPERATION IN EUROPE,1957-07-01 00:00,COMMISSION ON SECURITY AND COOPERATION IN EUROPE,CREATE,,1957-07-01 00:00,300000695,COMMISSION ON SECURITY AND COOPERATION IN EUROPE,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000695,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000695,nextlevelchildren,COMMISSION ON SECURITY AND COOPERATION IN EUROPE,Commission on Security and Cooperation in EUROPE,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED (300000059),COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED (300000059),,,338,Committee for Purchase From People Who Are Blind or Severely Disabled,agency,,,338,Committee for Purchase From People Who Are Blind or Severely Disabled,Committee for Purchase From People Who Are Blind or Severely Disabled,,,,,,,,,,,,,,,,,,,,,,,9518,338,,,,,IAE_DATA_TEAM,2017-10-05 12:35,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,300000059,300000059,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,1957-07-01 00:00,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,CREATE,,1957-07-01 00:00,300000059,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000059,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000059,nextlevelchildren,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,Committee for Purchase From People Who Are Blind or Severely Disabled,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/COMMODITY FUTURES TRADING COMMISSION (100002228),COMMODITY FUTURES TRADING COMMISSION (100002228),,,339,Commodity Futures Trading Commission,agency,,,339,Commodity Futures Trading Commission,Commodity Futures Trading Commission,,,,,,,,,,,,,,,,,,,,,,,9507,339,,,,,,1996-07-30 00:00,COMMODITY FUTURES TRADING COMMISSION,100002228,100002228,COMMODITY FUTURES TRADING COMMISSION,1957-07-01 00:00,COMMODITY FUTURES TRADING COMMISSION,CREATE,,1957-07-01 00:00,100002228,COMMODITY FUTURES TRADING COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100002228,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100002228,nextlevelchildren,COMMODITY FUTURES TRADING COMMISSION,Commodity Futures Trading Commission,9507,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/CONGRESSIONAL BUDGET OFFICE (300000007),CONGRESSIONAL BUDGET OFFICE (300000007),,,1,Legislative Branch,bureau,14,Congressional Budget Office,1-14,Congressional Budget Office,Congressional Budget Office,,,,,,,,,,,,,,,,,,,,,,,0800,008,,,,,IAE_DATA_TEAM,2017-10-05 12:35,CONGRESSIONAL BUDGET OFFICE,300000007,300000007,CONGRESSIONAL BUDGET OFFICE,1957-07-01 00:00,CONGRESSIONAL BUDGET OFFICE,CREATE,,1957-07-01 00:00,300000007,CONGRESSIONAL BUDGET OFFICE,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000007,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000007,nextlevelchildren,CONGRESSIONAL BUDGET OFFICE,Congressional Budget Office,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/CONSUMER FINANCIAL PROTECTION BUREAU (300000075),CONSUMER FINANCIAL PROTECTION BUREAU (300000075),,,,,,,,,,,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,,,,,,,,,,,,,,,,,,,,955F,581,,,,,IAE_DATA_TEAM,2017-10-05 12:35,CONSUMER FINANCIAL PROTECTION BUREAU,300000075,300000075,CONSUMER FINANCIAL PROTECTION BUREAU,2010-07-21 00:00,CONSUMER FINANCIAL PROTECTION BUREAU,CREATE,,2010-07-21 00:00,300000075,CONSUMER FINANCIAL PROTECTION BUREAU,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000075,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000075,nextlevelchildren,CONSUMER FINANCIAL PROTECTION BUREAU,Consumer Financial Protection Bureau,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/CONSUMER PRODUCT SAFETY COMMISSION (300000039),CONSUMER PRODUCT SAFETY COMMISSION (300000039),,,343,Consumer Product Safety Commission,agency,,,343,Consumer Product Safety Commission,Consumer Product Safety Commission,,,,,,,,,,,,,,,,,,,,,,,6100,061,,,,,IAE_DATA_TEAM,2017-10-05 12:35,CONSUMER PRODUCT SAFETY COMMISSION,300000039,300000039,CONSUMER PRODUCT SAFETY COMMISSION,1957-07-01 00:00,CONSUMER PRODUCT SAFETY COMMISSION,CREATE,,1957-07-01 00:00,300000039,CONSUMER PRODUCT SAFETY COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000039,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000039,nextlevelchildren,CONSUMER PRODUCT SAFETY COMMISSION,Consumer Product Safety Commission,,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/CORPORATION FOR NATIONAL AND COMMUNITY SERVICE (100076164),CORPORATION FOR NATIONAL AND COMMUNITY SERVICE (100076164),,,485,Corporation for National and Community Service,agency,,,485,Corporation for National and Community Service,Corporation for National and Community Service,,,,,,,,,,,,,,,,,,,,,,,9577,485,,,,,LJOHNSON@CNS.GOV,2003-10-14 00:00,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,100076164,100076164,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,1957-07-01 00:00,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,CREATE,,1957-07-01 00:00,100076164,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100076164,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100076164,nextlevelchildren,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,Corporation for National and Community Service,9577,ACTIVE,FPDS_START_DATE_FIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
