path,name,usagov_contact_0_link,usagov_contact_0_title,usagov_contact_1_link,usagov_contact_1_title,usagov_contact_2_link,usagov_contact_2_title,usagov_contact_3_link,usagov_contact_3_title,usagov_contact_4_link,usagov_contact_4_title,usagov_contact_5_link,usagov_contact_5_title,usagov_contact_6_link,usagov_contact_6_title,usagov_contact_7_link,usagov_contact_7_title,usagov_contact_8_link,usagov_contact_8_title,usagov_description,usagov_email_0_link,usagov_email_0_title,usagov_email_1_link,usagov_email_1_title,usagov_find_an_office_near_you_0_link,usagov_find_an_office_near_you_0_title,usagov_find_an_office_near_you_1_link,usagov_find_an_office_near_you_1_title,usagov_find_an_office_near_you_2_link,usagov_find_an_office_near_you_2_title,usagov_find_an_office_near_you_3_link,usagov_find_an_office_near_you_3_title,usagov_find_an_office_near_you_4_link,usagov_find_an_office_near_you_4_title,usagov_find_an_office_near_you_5_link,usagov_find_an_office_near_you_5_title,usagov_find_an_office_near_you_6_link,usagov_find_an_office_near_you_6_title,usagov_find_an_office_near_you_7_link,usagov_find_an_office_near_you_7_title,usagov_find_an_office_near_you_8_link,usagov_find_an_office_near_you_8_title,usagov_find_an_office_near_you_9_link,usagov_find_an_office_near_you_9_title,usagov_find_an_office_near_you_10_link,usagov_find_an_office_near_you_10_title,usagov_find_an_office_near_you_11_link,usagov_find_an_office_near_you_11_title,usagov_find_an_office_near_you_12_link,usagov_find_an_office_near_you_12_title,usagov_find_an_office_near_you_13_link,usagov_find_an_office_near_you_13_title,usagov_find_an_office_near_you_14_link,usagov_find_an_office_near_you_14_title,usagov_find_an_office_near_you_15_link,usagov_find_an_office_near_you_15_title,usagov_find_an_office_near_you_16_link,usagov_find_an_office_near_you_16_title,usagov_find_an_office_near_you_17_link,usagov_find_an_office_near_you_17_title,usagov_main_address_0,usagov_main_address_1,usagov_main_address_2,usagov_main_address_3,usagov_main_address_4,usagov_main_address_5,usagov_name,usagov_phone_number_0,usagov_phone_number_1,usagov_phone_number_2,usagov_toll-free_number_0,usagov_toll-free_number_1,usagov_toll-free_number_2,usagov_tty_0,usagov_tty_1,usagov_tty_2,usagov_website_0_link,usagov_website_0_title,usagov_website_1_link,usagov_website_1_title,usagov_website_2_link,usagov_website_2_title,usagov_website_3_link,usagov_website_3_title
"/US FEDERAL GOVERNMENT/[usagov] Office for Civil Rights, Department of Education","[usagov] Office for Civil Rights, Department of Education",https://www2.ed.gov/about/contacts/gen/index.html?src=ft#civil,Contact the Office for Civil Rights,https://www2.ed.gov/about/offices/list/ocr/docs/howto.html,File a Discrimination Complaint,,,,,,,,,,,,,,,"This office works to ensure equal access to education, and resolve complaints of discrimination.",mailto:ocr@ed.gov,,mailto:ocr@ed.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400 Maryland Ave., SW","Washington,",DC,20202-1100,,,"Office for Civil Rights, Department of Education",1-202-245-6700,,,1-800-421-3481,,,1-800-877-8339,,,http://www.ed.gov/ocr,"Office for Civil Rights, Department of Education",,,,,,
/US FEDERAL GOVERNMENT/[usagov] Occupational Safety and Health Review Commission,[usagov] Occupational Safety and Health Review Commission,https://www.oshrc.gov/about/important-contact-information/,,https://www.oshrc.gov/about/important-contact-information/,Contact the Occupational Safety and Health Review Commission,,,,,,,,,,,,,,,"The Occupational Safety and Health Review Commission hears trials and appeals, deciding contests of citations or penalties that result from inspections performed by the Occupational Safety and Health Administration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1120 20th St., NW",9th Floor,"Washington,",DC,20036-3457,,Occupational Safety and Health Review Commission,,,,,,,,,,http://www.oshrc.gov/index.html,Occupational Safety and Health Review Commission,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Occupational Safety and Health Administration,[usagov] Occupational Safety and Health Administration,https://www.osha.gov/contactus,Contact the Occupational Safety and Health Administration,https://www.osha.gov/workers/file-complaint,Report a Hazard in Your Workplace,,,,,,,,,,,,,,,"The Occupational Safety and Health Administration (OSHA) assures safe and healthful working conditions by setting and enforcing standards, and by providing training, outreach, education and assistance.",,,,,https://www.osha.gov/contactus/bystate,,https://www.osha.gov/contactus/bystate,Find an OSHA Office Near You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200 Constitution Ave., NW","Washington,",DC,20210,,,Occupational Safety and Health Administration,,,,1-800-321-OSHA (1-800-321-6742),,,1-877-889-5627,,,https://www.osha.gov/,Occupational Safety and Health Administration (OSHA),,,,,,
/US FEDERAL GOVERNMENT/[usagov] Oak Ridge National Laboratory,[usagov] Oak Ridge National Laboratory,https://www.ornl.gov/content/contact-us,,https://www.ornl.gov/content/contact-us,Contact the Oak Ridge National Laboratory,,,,,,,,,,,,,,,"The Oak Ridge National Laboratory conducts world-leading research in advanced materials exploration, alternative fuels, clean energy, and supercomputing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.O. Box 2001,"Oak Ridge,",TN,37831,,,Oak Ridge National Laboratory,1-865-576-0885,,,1-800-382-6938,,,,,,https://www.ornl.gov/,Oak Ridge National Laboratory,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Privacy and Civil Liberties Oversight Board,[usagov] Privacy and Civil Liberties Oversight Board,https://www.pclob.gov/About/Contact,,https://www.pclob.gov/About/Contact,Contact the Privacy and Civil Liberties Oversight Board,,,,,,,,,,,,,,,The Privacy and Civil Liberties Oversight Board ensures that the federal government’s efforts to prevent terrorism are balanced with the need to protect privacy and civil liberties.​,mailto:info@pclob.gov,,mailto:info@pclob.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"800 North Capitol Street, NW",Suite 565,"Washington,",DC,20002,,Privacy and Civil Liberties Oversight Board,1-202-296-4649,,,,,,,,,https://www.pclob.gov/,Privacy and Civil Liberties Oversight Board,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Prevention Information Network,[usagov] National Prevention Information Network,,,,,,,,,,,,,,,,,,,"The CDC National Prevention Information Network (NPIN) is the reference and referral service for information on HIV/AIDS, viral hepatitis, sexually transmitted diseases (STDs), and tuberculosis (TB).",mailto:NPIN-Info@cdc.gov,,mailto:NPIN-Info@cdc.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PO Box 6003,"Rockville,",MD,20849,,,National Prevention Information Network,,,,1-800-458-5231,,,,,,https://npin.cdc.gov/,National Prevention Information Network,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Pretrial Services Agency for the District of Columbia,[usagov] Pretrial Services Agency for the District of Columbia,https://www.psa.gov/?q=contact,,https://www.psa.gov/?q=contact,Contact the Pretrial Services Agency for the District of Columbia,,,,,,,,,,,,,,,The Pretrial Services Agency for the District of Columbia's promotes pretrial justice and enhances community safety.,mailto:contact@psa.gov,,mailto:contact@psa.gov,,https://www.psa.gov/?q=contact/location_directory,,https://www.psa.gov/?q=contact/location_directory,Location Directory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"633 Indiana Ave., NW",Suite 1120,"Washington,",DC,20004,,Pretrial Services Agency for the District of Columbia,1-202-220-5500,,,,,,,,,https://www.psa.gov/,Pretrial Services Agency for the District of Columbia,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Presidio Trust,[usagov] Presidio Trust,,,,,,,,,,,,,,,,,,,The Presidio Trust preserves the Presidio National Park as an enduring resource for the American people.,mailto:presidio@presidiotrust.gov,,mailto:presidio@presidiotrust.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103 Montgomery St.,P.O. Box 29052,"San Francisco,",CA,94129,,Presidio Trust,1-415-561-5418,,,,,,1-415-561-5301,,,http://www.presidio.gov,Presidio Trust,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Commission on Presidential Scholars,[usagov] Commission on Presidential Scholars,http://www2.ed.gov/programs/psp/contacts.html,,http://www2.ed.gov/programs/psp/contacts.html,Contact the Commission on Presidential Scholars,,,,,,,,,,,,,,,"The Commission on Presidential Scholars selects and honors the Presidential Scholars, a group of graduating high school seniors of exceptional talent and commitment to public service.",mailto:Presidential.Scholars@ed.gov,,mailto:Presidential.Scholars@ed.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commission on Presidential Scholars,U.S. Department of Education,"400 Maryland Ave., SW","Washington,",DC,20202-8173,Commission on Presidential Scholars,1-202-401-0961,1-319-341-2777 (Application Questions),,,,,,,,http://www.ed.gov/programs/psp/commission.html?exp=0,Commission on Presidential Scholars,,,,,,
"/US FEDERAL GOVERNMENT/[usagov] President's Council on Fitness, Sports and Nutrition","[usagov] President's Council on Fitness, Sports and Nutrition",https://health.gov/about-odphp/contact-us,,https://health.gov/about-odphp/contact-us,"Contact the President's Council on Fitness, Sports and Nutrition",,,,,,,,,,,,,,,The President's Council on Fitness educates and encourages Americans to adopt a healthy lifestyle.,mailto:fitness@hhs.gov,,mailto:fitness@hhs.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101 Wootton Pkwy.,"Department W Tower Bldg., Suite 560","Rockville,",MD,20852,,"President's Council on Fitness, Sports and Nutrition",1-240-276-9567,,,,,,,,,https://health.gov/our-work/nutrition-physical-activity/presidents-council,"President's Council on Fitness, Sports and Nutrition",,,,,,
/US FEDERAL GOVERNMENT/[usagov] Power Administrations,[usagov] Power Administrations,,,,,,,,,,,,,,,,,,,There are four power administrations that market the hydroelectric power produced by the Army Corps of Engineers' dams.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,,,,,,Power Administrations,,,,,,,,,,https://www.energy.gov/offices,Power Administrations,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Office of Postsecondary Education,[usagov] Office of Postsecondary Education,https://www2.ed.gov/about/offices/list/ope/contacts.html,,https://www2.ed.gov/about/offices/list/ope/contacts.html,Contact the Office of Postsecondary Education,,,,,,,,,,,,,,,The Office of Postsecondary Education develops programs to increase access to postsecondary education. This office works with state accreditation agencies to recognize institutions of higher learning that provide quality education.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1990 K St., NW","Washington,",DC,20006,,,Office of Postsecondary Education,1- 202-502-7750,,,,,,,,,http://www2.ed.gov/about/offices/list/ope/index.html,Office of Postsecondary Education,,,,,,
/US FEDERAL GOVERNMENT/[usagov] U.S. Postal Service,[usagov] U.S. Postal Service,https://www.usps.com/help/contact-us.htm,Contact the U.S. Postal Service,https://tools.usps.com/zip-code-lookup.htm,Zip code lookup,https://moversguide.usps.com/mgo/disclaimer,U.S. Postal Service Change of Address,https://www.usa.gov/postal-service-complaints,File a U.S. Postal Service complaint,,,,,,,,,,,The Postal Service provides mail processing and delivery services to individuals and businesses in the U.S.,,,,,https://tools.usps.com/find-location.htm,,https://tools.usps.com/find-location.htm,Locate a Post Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USPS Office of the Consumer Advocate,"475 L'Enfant Plaza, SW Room 4012","Washington,",DC,20260-2200,,U.S. Postal Service,,,,1-800-275-8777,1-800-222-1811 (Track and Confirm a Package),,1-877-889-2457,,,https://www.usps.com/,U.S. Postal Service (USPS),,,,,,
/US FEDERAL GOVERNMENT/[usagov] Postal Regulatory Commission,[usagov] Postal Regulatory Commission,http://www.prc.gov/contact/,,http://www.prc.gov/contact/,Contact the Postal Regulatory Commission,,,,,,,,,,,,,,,"The Postal Regulatory Commission is responsible for oversight of the U.S. Postal Service, including oversight of rates and services, and ensuring the Postal Service meets all of its legal requirements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"901 New York Ave., NW",Suite 200,"Washington,",DC,20268-0001,,Postal Regulatory Commission,1-202-789-6800,,,,,,,,,http://www.prc.gov,Postal Regulatory Commission,,,,,,
/US FEDERAL GOVERNMENT/[usagov] U.S. Postal Inspection Service,[usagov] U.S. Postal Inspection Service,https://usps.force.com/emailus/s/,,https://usps.force.com/emailus/s/,Contact the Postal Inspection Service,,,,,,,,,,,,,,,The U.S. Postal Inspection Service supports and protects the U.S. Postal Service and its customers by enforcing the laws that defend the nation’s mail system from illegal or dangerous use.,,,,,https://postalpro.usps.com/ppro-tools/inspection-service,,https://postalpro.usps.com/ppro-tools/inspection-service,Find Your Local Postal Inspection Service Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criminal Investigations Service Center,Attn: Mail Fraud,"433 W Harrison St., Room 3255","Chicago,",IL,60699-3255,U.S. Postal Inspection Service,,,,1-877-876-2455,,,,,,https://postalinspectors.uspis.gov/,United States Postal Inspection Service,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Political Affairs,[usagov] Political Affairs,https://register.state.gov/contactus/contactusform,,https://register.state.gov/contactus/contactusform,Contact Political Affairs,,,,,,,,,,,,,,,"The Department of State Undersecretary for Political Affairs manages overall regional and bilateral policy issues, and oversees the bureaus for Africa, East Asia and the Pacific, Europe and Eurasia, the Near East, South and Central Asia, the Western Hemisphere, and International Organizations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,,,,,,Political Affairs,,,,,,,,,,http://www.state.gov/p/,Political Affairs,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Office of Policy Development and Research,[usagov] Office of Policy Development and Research,https://www.huduser.gov/portal/about/pdrconta.html,,https://www.huduser.gov/portal/about/pdrconta.html,Contact the Office of Policy Development and Research,,,,,,,,,,,,,,,The Office of Policy Development and Research provides the Department of Housing and Urban Development up-to-date information and analysis of housing and community development issues.,mailto:helpdesk@huduser.org,,mailto:helpdesk@huduser.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HUD USER,P.O. Box 23268,"Washington,",DC,20026-3268,,Office of Policy Development and Research,1-202-708-3178,,,1-800-245-2691,,,1-800-927-7589,,,https://www.huduser.gov/portal/home.html,Office of Policy Development and Research,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Pipeline and Hazardous Materials Safety Administration,[usagov] Pipeline and Hazardous Materials Safety Administration,https://www.phmsa.dot.gov/about-phmsa/phmsas-mission,,https://www.phmsa.dot.gov/about-phmsa/phmsas-mission,Contact the Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,,,The Pipeline and Hazardous Materials Safety Administration regulates the transport of hazardous materials.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1200 New Jersey Ave., SE","East Building, 2nd Floor","Washington,",DC,20590,,Pipeline and Hazardous Materials Safety Administration,1-202-366-4433,,,1-800-424-8802 (Report an Accident),,,,,,http://www.phmsa.dot.gov/,Pipeline and Hazardous Materials Safety Administration,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Pentagon Force Protection Agency,[usagov] Pentagon Force Protection Agency,,,,,,,,,,,,,,,,,,,"The Pentagon Force Protection Agency is a civilian agency that protects the occupants, visitors, and infrastructure of Pentagon facilities.",mailto:pfpa.pentagon.cco.mbx.general@mail.mil,,mailto:pfpa.pentagon.cco.mbx.general@mail.mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,,,,,,Pentagon Force Protection Agency,1-703-697-1001,1-703-697-5555 (Emergencies),,,,,1-703-693-7008,,,https://www.pfpa.mil/,Pentagon Force Protection Agency,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Pension Benefit Guaranty Corporation,[usagov] Pension Benefit Guaranty Corporation,https://www.pbgc.gov/about/pg/contact/contact,,https://www.pbgc.gov/about/pg/contact/contact,Contact the Pension Benefit Guaranty Corporation,,,,,,,,,,,,,,,The Pension Benefit Guaranty Corporation insures and guarantees private sector workers' pensions.,mailto:mypension@pbgc.gov,,mailto:mypension@pbgc.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.O. Box 151750,"Alexandria,",VA,22315-1750,,,Pension Benefit Guaranty Corporation,1-202-326-4000,"1-202-326-4242 (Plan Sponsors, Administrators or Practitioners)",,1-800-400-7242,"1-800-736-2444 (Plan Sponsors, Administrators or Practitioners)",,1-800-877-8339 (Relay Service),,,https://www.pbgc.gov/,Pension Benefit Guaranty Corporation (PBGC),,,,,,
/US FEDERAL GOVERNMENT/[usagov] Peace Corps,[usagov] Peace Corps,https://www.peacecorps.gov/contact/,,https://www.peacecorps.gov/contact/,Contact the Peace Corps,,,,,,,,,,,,,,,"Peace Corps volunteers travel to developing countries all over the world to assist with many ongoing efforts including AIDS education, business training, and information infrastructure development.",,,,,https://www.peacecorps.gov/volunteer/connect-with-a-recruiter/,,https://www.peacecorps.gov/volunteer/connect-with-a-recruiter/,Find a Recruitment Office Near You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1111 20th St., NW","Washington,",DC,20526,,,Peace Corps,,,,1-855-855-1961,,,,,,https://www.peacecorps.gov/,Peace Corps,,,,,,
/US FEDERAL GOVERNMENT/[usagov] U.S. Patent and Trademark Office,[usagov] U.S. Patent and Trademark Office,http://www.uspto.gov/about/contacts/index.jsp,Contact the U.S. Patent and Trademark Office,https://portal.uspto.gov/EmployeeSearch/,Staff Directory,,,,,,,,,,,,,,,The U.S. Patent and Trademark Office is the agency responsible for granting U.S. patents and registering trademarks.,mailto:usptoinfo@uspto.gov,,mailto:usptoinfo@uspto.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 Dulany St.,"Alexandria,",VA,22314,,,U.S. Patent and Trademark Office,1-571-272-1000,,,"1-800-786-9199 (8:30 am - 8:00 pm, ET)",,,1-571-272-9950,,,http://www.uspto.gov/,U.S. Patent and Trademark Office,http://www.uspto.gov/trademarks,Trademarks Department,http://www.uspto.gov/patents,Patents Department,,
/US FEDERAL GOVERNMENT/[usagov] National Passport Information Center,[usagov] National Passport Information Center,https://travel.state.gov/content/travel/en/contact-us/passports.html,Contact the National Passport Information Center,https://travel.state.gov/content/travel/en/passports/after/status.html,Check the Status of Your Passport Application,https://travel.state.gov/content/travel/en/passports/after/lost-stolen.html,Report a Lost or Stolen Passport,,,,,,,,,,,,,"Contact the National Passport Information Center for information on U.S. passports, including the status of pending applications, as well as the locations of the over 4,500 passport acceptance facilities.",mailto:npic@state.gov,,mailto:npic@state.gov,,https://travel.state.gov/content/travel/en/passports/requirements/where-to-apply.html,,https://travel.state.gov/content/travel/en/passports/requirements/where-to-apply.html,Where to Apply for a U.S. Passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passport Services,AK,,,,,National Passport Information Center,,,,1-877-487-2778,,,1-888-874-7793,,,https://travel.state.gov/content/travel/en/contact-us/passports.html,National Passport Information Center (NPIC),,,,,,
/US FEDERAL GOVERNMENT/[usagov] U.S. Parole Commission,[usagov] U.S. Parole Commission,https://www.justice.gov/uspc/contact-commission,,https://www.justice.gov/uspc/contact-commission,Contact the Parole Commission,,,,,,,,,,,,,,,"The Parole Commission considers prisoners' applications for parole, deciding whether or not a prisoner has earned a chance to reintegrate into the community.",mailto:public.inquiries@usdoj.gov,,mailto:public.inquiries@usdoj.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90 K St., NE",Third Floor,"Washington,",DC,20530,,U.S. Parole Commission,1-202-346-7000,,,,,,,,,https://www.justice.gov/uspc,Parole Commission,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Center for Parent Information and Resources,[usagov] Center for Parent Information and Resources,https://www.parentcenterhub.org/contact-us/,,https://www.parentcenterhub.org/contact-us/,Contact Form,,,,,,,,,,,,,,,The Center for Parent Information and Resources offers information for children and young people with disabilities under 22 years of age.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c/o Statewide Parent Advocacy Network (SPAN),"35 Halsey St., 4th Floor","Newark,",NJ,07102,,Center for Parent Information and Resources,1-973-642-8100,,,,,,,,,https://www.parentcenterhub.org/,Center for Parent Information and Resources (CPIR),,,,,,
/US FEDERAL GOVERNMENT/[usagov] Office of the Pardon Attorney,[usagov] Office of the Pardon Attorney,https://www.justice.gov/pardon/contact-office,,https://www.justice.gov/pardon/contact-office,Contact the Office of the Pardon Attorney,,,,,,,,,,,,,,,The Office of the Pardon Attorney assists the president in the exercise of executive clemency by reviewing clemency applications and making recommendations.,mailto:USPardon.Attorney@usdoj.gov,,mailto:USPardon.Attorney@usdoj.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"145 N St., NE",Room 5E.508,"Washington,",DC,20530,,Office of the Pardon Attorney,1-202-616-6070,,,,,,,,,http://www.usdoj.gov/pardon/index.html,Office of the Pardon Attorney,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Northwest Power and Conservation Council,[usagov] Northwest Power and Conservation Council,http://www.nwcouncil.org/contact/,,http://www.nwcouncil.org/contact/,Contact the Northwest Power and Conservation Council,,,,,,,,,,,,,,,The Northwest Power and Conservation Council develops energy plans for the pacific northwest that include conservation efforts for local fish and wildlife.,mailto:info@nwcouncil.org,,mailto:info@nwcouncil.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851 S.W. Sixth Ave.,Suite 1100,"Portland,",OR,97204,,Northwest Power and Conservation Council,1-503-222-5161,,,1-800-452-5161,,,,,,http://www.nwcouncil.org/,Northwest Power and Conservation Council,,,,,,
/US FEDERAL GOVERNMENT/[usagov] U.S. Indo-Pacific Command,[usagov] U.S. Indo-Pacific Command,https://www.pacom.mil/Contact/Directory.aspx,,https://www.pacom.mil/Contact/Directory.aspx,Contact the Indo-Pacific Command,,,,,,,,,,,,,,,The U.S. Indo-Pacific Command is responsible for defending and promoting U.S. interests in the Pacific and Asia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USPACOM J01PA,Box 64031,"Camp H.M. Smith,",HI,96861-4031,,U.S. Indo-Pacific Command,1-808-477-6282,,,,,,,,,https://www.pacom.mil/,Indo-Pacific Command,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Rural Utilities Service,[usagov] Rural Utilities Service,https://www.rd.usda.gov/contact-us/national-office/rus,,https://www.rd.usda.gov/contact-us/national-office/rus,Contact the Rural Utilities Service,,,,,,,,,,,,,,,"The Rural Utilities Service provides funding for the development of rural utilities infrastructure such as water, waste management, power and telecommunications.",,,,,https://www.rd.usda.gov/contact-us/state-offices,,https://www.rd.usda.gov/contact-us/state-offices,Find an Office in Your State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USDA Rural Development, Room 4051-S","1400 Independence Ave., SW","Washington,",DC,20250-1510,,Rural Utilities Service,1-202-720-9540,,,,,,1-800-877-8339 (Federal Relay Service),,,https://www.rd.usda.gov/about-rd/agencies/rural-utilities-service,Rural Utilities Service,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Rural Housing Service,[usagov] Rural Housing Service,https://www.rd.usda.gov/contact-us/national-office/rhs,,https://www.rd.usda.gov/contact-us/national-office/rhs,Contact the Rural Housing Service,,,,,,,,,,,,,,,The Rural Housing Service provides grants and loans for housing and community facilities in rural areas of the U.S.,,,,,https://www.rd.usda.gov/contact-us/state-offices,,https://www.rd.usda.gov/contact-us/state-offices,Find an Office in Your State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USDA Rural Development, Room 5014-S","1400 Independence Ave., SW","Washington,",DC,20250-0701,,Rural Housing Service,1-202-690-1533,,,1-800-414-1226 (Centralized Servicing Center),,,1-800-877-8339,1-800-438-1832 (Centralized Servicing Center),,https://www.rd.usda.gov/about-rd/agencies/rural-housing-service,Rural Housing Service,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Rural Development,[usagov] Rural Development,https://www.rd.usda.gov/contact-us/national-office,,https://www.rd.usda.gov/contact-us/national-office,Contact Rural Development,,,,,,,,,,,,,,,"Rural Development offers loans, grants and loan guarantees to support essential services such as housing, economic development, health care, first responder services and equipment, and water, electric and communications infrastructure.",,,,,https://www.rd.usda.gov/contact-us/state-offices,,https://www.rd.usda.gov/contact-us/state-offices,Find a Rural Development Office in Your State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USDA Rural Development, Office of the Under Secretary","STOP 0108, STE 240-E","1400 Independence Ave., SW","Washington,",DC,20250-0108,Rural Development,1-202-720-4581,,,,,,1-800-877-8339 (Federal Relay Service),,,https://www.rd.usda.gov/,Rural Development,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Rural Business and Cooperative Programs,[usagov] Rural Business and Cooperative Programs,https://offices.sc.egov.usda.gov/locator/app?state=us&agency=rd,,https://offices.sc.egov.usda.gov/locator/app?state=us&agency=rd,Contact Rural Business and Cooperative Programs,,,,,,,,,,,,,,,"Rural Business and Cooperative Programs provides support for rural businesses, usually through grants and loans.",,,,,https://www.rd.usda.gov/contact-us/state-offices,,https://www.rd.usda.gov/contact-us/state-offices,Find an Office in Your State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USDA Rural Development, Room 5045-S","1400 Independence Ave., SW","Washington,",DC,20250-3201,,Rural Business and Cooperative Programs,1-202-690-4730,,,,,,1-800-877-8339 (Federal Relay Service),,,https://www.rd.usda.gov/about-rd/agencies/rural-business-cooperative-service,Rural Business and Cooperative Programs,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Risk Management Agency,[usagov] Risk Management Agency,https://www.rma.usda.gov/en/Contact-Us,,https://www.rma.usda.gov/en/Contact-Us,Contact the Risk Management Agency,,,,,,,,,,,,,,,"The Risk Management Agency administers the Federal Crop Insurance Corporation, and provides risk management information and services to farmers and producers.",mailto:RMA.CCO@rma.usda.gov,,mailto:RMA.CCO@rma.usda.gov,,https://www.rma.usda.gov/RMALocal/Field-Offices/Regional-Offices,,https://www.rma.usda.gov/RMALocal/Field-Offices/Regional-Offices,Risk Management Agency Local Offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1400 Independence Ave., SW",Mailstop 0801,"Washington,",DC,20250-0801,,Risk Management Agency,1-202-690-2803,,,,,,,,,http://www.rma.usda.gov/,Risk Management Agency,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Rehabilitation Services Administration,[usagov] Rehabilitation Services Administration,https://rsa.ed.gov/about/people,,https://rsa.ed.gov/about/people,Contact the Rehabilitation Services Administration,,,,,,,,,,,,,,,The Rehabilitation Services Administration oversees grant programs that help individuals with physical or mental disabilities obtain employment and live more independently.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of Special Education and Rehabilitative Services,"400 Maryland Ave., SW","Washington,",DC,20202-7100,,Rehabilitation Services Administration,1-202-245-7468,,,1-800-827-5327,,,1-800-437-0833,,,http://www.ed.gov/about/offices/list/osers/rsa/index.html?exp=0,Rehabilitation Services Administration,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Office of Refugee Resettlement,[usagov] Office of Refugee Resettlement,https://www.acf.hhs.gov/orr/about,,https://www.acf.hhs.gov/orr/about,Contact the Office of Refugee Resettlement,,,,,,,,,,,,,,,"The Office of Refugee Resettlement provides resources for refugees, asylum seekers, and other new arrivals to the U.S. to assist with their integration into their new community.",,,,,https://www.acf.hhs.gov/orr/map/find-resources-and-contacts-your-state,,https://www.acf.hhs.gov/orr/map/find-resources-and-contacts-your-state,"Local Partners, Programs, and Offices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mary E. Switzer Building,"330 C St., SW","Washington,",DC,20201,,Office of Refugee Resettlement,1-202-401-9246,,,,,,,,,https://www.acf.hhs.gov/orr,Office of Refugee Resettlement,,,,,,
